Home Team,Home Team HT,Home Team FT,Away Team,Away Team HT,Away Team FT,date,time,Total HT Goals,Total FT Goals,FT-HT Goals,,
B. Monchengladbach,2,4,Wolfsburg,0,0,10/11/2022,22:30,2,4,2,,0.981651376
Bochum,2,3,Wolfsburg,1,1,02/12/2022,17:30,3,4,1,,
Darmstadt,0,0,Wolfsburg,0,1,16/12/2022,17:30,0,1,1,,
Mainz,0,1,Wolfsburg,1,1,13/01/2022,17:30,1,2,1,,
Stuttgart,0,3,Wolfsburg,1,1,07/10/2022,16:30,1,4,3,,
B. Monchengladbach,1,2,Werder Bremen,1,2,15/12/2022,22:30,2,4,2,,
Bochum,0,1,Werder Bremen,0,1,14/01/2022,17:30,0,2,2,,
Darmstadt,2,4,Werder Bremen,0,2,01/10/2022,16:30,2,6,4,,
Dortmund,0,1,Werder Bremen,0,0,20/10/2022,21:30,0,1,1,,
Stuttgart,1,2,Werder Bremen,0,0,02/12/2022,20:30,1,2,1,,
Wolfsburg,1,2,Werder Bremen,1,2,05/11/2022,17:30,2,4,2,,
Bayer Leverkusen,1,4,Union Berlin,0,0,12/11/2022,17:30,1,4,3,,
Bochum,1,3,Union Berlin,0,0,16/12/2022,17:30,1,3,2,,
Dortmund,1,4,Union Berlin,2,2,07/10/2022,16:30,3,6,3,,
Freiburg,0,0,Union Berlin,0,0,13/01/2022,17:30,0,0,0,,
Heidenheim,0,1,Union Berlin,0,0,30/09/2022,16:30,0,1,1,,
Werder Bremen,1,2,Union Berlin,0,0,28/10/2022,16:30,1,2,1,,
B. Monchengladbach,2,3,Stuttgart,0,1,14/01/2022,19:30,2,4,2,,
Bayern Munich,1,3,Stuttgart,0,0,17/12/2022,21:30,1,3,2,,
Eintracht Frankfurt,1,1,Stuttgart,2,2,25/11/2022,20:30,3,3,0,,
FC Koln,0,0,Stuttgart,0,2,30/09/2022,16:30,0,2,2,,
Heidenheim,0,2,Stuttgart,0,0,05/11/2022,19:30,0,2,2,,
Union Berlin,0,0,Stuttgart,1,3,21/10/2022,16:30,1,3,2,,
Darmstadt,1,1,RB Leipzig,2,3,21/10/2022,16:30,3,4,1,,
Dortmund,1,2,RB Leipzig,1,3,09/12/2022,20:30,2,5,3,,
Mainz,0,2,RB Leipzig,0,0,04/11/2022,17:30,0,2,2,,
Werder Bremen,0,1,RB Leipzig,0,1,19/12/2022,20:30,0,2,2,,
Wolfsburg,1,2,RB Leipzig,0,1,25/11/2022,17:30,1,3,2,,
B. Monchengladbach,1,2,Mainz,1,2,06/10/2022,21:30,2,4,2,,
Bochum,1,2,Mainz,0,2,27/10/2022,21:30,1,4,3,,
Darmstadt,0,0,Mainz,0,0,11/11/2022,17:30,0,0,0,,
Dortmund,1,1,Mainz,1,1,19/12/2022,22:30,2,2,0,,
FC Koln,0,0,Mainz,0,0,10/12/2022,19:30,0,0,0,,
Hoffenheim,0,1,Mainz,1,1,26/11/2022,19:30,1,2,1,,
Augsburg,0,1,Hoffenheim,1,1,11/11/2022,17:30,1,2,1,,
B. Monchengladbach,0,2,Hoffenheim,0,1,02/12/2022,17:30,0,3,3,,
Bayern Munich,1,3,Hoffenheim,0,0,12/01/2022,22:30,1,3,2,,
RB Leipzig,1,3,Hoffenheim,1,1,16/12/2022,20:30,2,4,2,,
Stuttgart,0,2,Hoffenheim,2,3,28/10/2022,16:30,2,5,3,,
Werder Bremen,1,2,Hoffenheim,2,3,07/10/2022,19:30,3,5,2,,
B. Monchengladbach,1,2,Heidenheim,1,1,28/10/2022,16:30,2,3,1,,
Bayer Leverkusen,1,4,Heidenheim,0,1,24/09/2022,16:30,1,5,4,,
Bayern Munich,2,4,Heidenheim,0,2,11/11/2022,17:30,2,6,4,,
Eintracht Frankfurt,1,2,Heidenheim,0,0,08/10/2022,20:30,1,2,1,,
FC Koln,1,1,Heidenheim,0,1,13/01/2022,17:30,1,2,1,,
