Home Team,Home Team HT,Home Team FT,Away Team,Away Team HT,Away Team FT,date,time,Total HT Goals,Total FT Goals,FT-HT Goals
B. Monchengladbach,2,3,Stuttgart,1,1,04/11/2022,22:30,3,4,1
FC Koln,1,1,Hoffenheim,1,1,30/10/2022,21:30,2,2,0
Union Berlin,0,2,B. Monchengladbach,1,1,30/10/2022,17:30,1,3,2
Schalke,0,0,Freiburg,1,2,30/10/2022,19:30,1,2,1
Bayern Munich,3,6,Mainz,1,2,29/10/2022,16:30,4,8,4
Wolfsburg,2,4,Bochum,0,0,29/10/2022,16:30,2,4,2
Eintracht Frankfurt,1,1,Dortmund,1,2,29/10/2022,19:30,2,3,1
Stuttgart,1,2,Augsburg,1,1,29/10/2022,16:30,2,3,1
RB Leipzig,1,2,Bayer Leverkusen,0,0,29/10/2022,16:30,1,2,1
Werder Bremen,0,1,Hertha Berlin,0,0,28/10/2022,21:30,0,1,1
Bochum,1,2,Union Berlin,0,1,23/10/2022,16:30,1,3,2
Hertha Berlin,0,2,Schalke,0,1,23/10/2022,18:30,0,3,3
Dortmund,3,5,Stuttgart,0,0,22/10/2022,16:30,3,5,2
B. Monchengladbach,0,1,Eintracht Frankfurt,3,3,22/10/2022,19:30,3,4,1
Bayer Leverkusen,1,2,Wolfsburg,1,2,22/10/2022,16:30,2,4,2
Hoffenheim,0,0,Bayern Munich,2,2,22/10/2022,16:30,2,2,0
Augsburg,1,3,RB Leipzig,0,3,22/10/2022,16:30,1,6,5
Freiburg,0,2,Werder Bremen,0,0,22/10/2022,16:30,0,2,2
Mainz,3,5,FC Koln,0,0,21/10/2022,21:30,3,5,2
Bayern Munich,2,5,Freiburg,0,0,16/10/2022,20:30,2,5,3
Union Berlin,2,2,Dortmund,0,0,16/10/2022,18:30,2,2,0
FC Koln,0,3,Augsburg,1,2,16/10/2022,16:30,1,5,4
RB Leipzig,3,3,Hertha Berlin,0,2,15/10/2022,19:30,3,5,2
Stuttgart,2,4,Bochum,1,1,15/10/2022,16:30,3,5,2
Wolfsburg,1,2,B. Monchengladbach,1,2,15/10/2022,16:30,2,4,2
Eintracht Frankfurt,1,5,Bayer Leverkusen,0,1,15/10/2022,16:30,1,6,5
Werder Bremen,0,0,Mainz,1,2,15/10/2022,16:30,1,2,1
Schalke,0,0,Hoffenheim,2,3,14/10/2022,21:30,2,3,1
B. Monchengladbach,2,5,FC Koln,1,2,09/10/2022,16:30,3,7,4
Hertha Berlin,1,2,Freiburg,1,2,09/10/2022,18:30,2,4,2
Stuttgart,0,0,Union Berlin,0,1,09/10/2022,20:30,0,1,1
Bayer Leverkusen,2,4,Schalke,0,0,08/10/2022,16:30,2,4,2
Dortmund,0,2,Bayern Munich,1,2,08/10/2022,19:30,1,4,3
Augsburg,0,1,Wolfsburg,1,1,08/10/2022,16:30,1,2,1
Mainz,1,1,RB Leipzig,0,1,08/10/2022,16:30,1,2,1
Bochum,0,3,Eintracht Frankfurt,0,0,08/10/2022,16:30,0,3,3
Hoffenheim,1,1,Werder Bremen,1,2,07/10/2022,21:30,2,3,1
Schalke,1,2,Augsburg,2,3,02/10/2022,18:30,3,5,2
Hertha Berlin,1,1,Hoffenheim,1,1,02/10/2022,16:30,2,2,0
Werder Bremen,4,5,B. Monchengladbach,0,1,01/10/2022,19:30,4,6,2
Wolfsburg,2,3,Stuttgart,2,2,01/10/2022,16:30,4,5,1
RB Leipzig,2,4,Bochum,0,0,01/10/2022,16:30,2,4,2
Freiburg,2,2,Mainz,0,1,01/10/2022,16:30,2,3,1
Eintracht Frankfurt,2,2,Union Berlin,0,0,01/10/2022,16:30,2,2,0
FC Koln,0,3,Dortmund,1,2,01/10/2022,16:30,1,5,4
Bayern Munich,3,4,Bayer Leverkusen,0,0,30/09/2022,21:30,3,4,1
Bochum,1,1,FC Koln,0,1,18/09/2022,18:30,1,2,1
Union Berlin,0,2,Wolfsburg,0,0,18/09/2022,16:30,0,2,2
Hoffenheim,0,0,Freiburg,0,0,18/09/2022,20:30,0,0,0
B. Monchengladbach,2,3,RB Leipzig,0,0,17/09/2022,19:30,2,3,1
Stuttgart,0,1,Eintracht Frankfurt,1,3,17/09/2022,16:30,1,4,3
Bayer Leverkusen,0,1,Werder Bremen,0,1,17/09/2022,16:30,0,2,2
Augsburg,0,1,Bayern Munich,0,0,17/09/2022,16:30,0,1,1
Dortmund,0,1,Schalke,0,0,17/09/2022,16:30,0,1,1
Mainz,0,1,Hertha Berlin,1,1,16/09/2022,21:30,1,2,1
FC Koln,0,0,Union Berlin,1,1,11/09/2022,16:30,1,1,0
Freiburg,0,0,B. Monchengladbach,0,0,11/09/2022,18:30,0,0,0
RB Leipzig,2,3,Dortmund,0,0,10/09/2022,16:30,2,3,1
Bayern Munich,1,2,Stuttgart,0,2,10/09/2022,16:30,1,4,3
Schalke,1,3,Bochum,0,1,10/09/2022,19:30,1,4,3
Hoffenheim,0,4,Mainz,0,1,10/09/2022,16:30,0,5,5
Hertha Berlin,0,2,Bayer Leverkusen,0,2,10/09/2022,16:30,0,4,4
Eintracht Frankfurt,0,0,Wolfsburg,0,1,10/09/2022,16:30,0,1,1
Werder Bremen,0,0,Augsburg,0,1,09/09/2022,21:30,0,1,1
Augsburg,0,0,Hertha Berlin,0,2,04/09/2022,16:30,0,2,2
B. Monchengladbach,0,0,Mainz,0,1,04/09/2022,18:30,0,1,1
Wolfsburg,1,2,FC Koln,3,4,03/09/2022,16:30,4,6,2
Eintracht Frankfurt,2,4,RB Leipzig,0,0,03/09/2022,19:30,2,4,2
Stuttgart,1,1,Schalke,1,1,03/09/2022,16:30,2,2,0
Union Berlin,1,1,Bayern Munich,1,1,03/09/2022,16:30,2,2,0
Bayer Leverkusen,1,2,Freiburg,0,3,03/09/2022,16:30,1,5,4
Bochum,0,0,Werder Bremen,0,2,03/09/2022,16:30,0,2,2
Dortmund,1,1,Hoffenheim,0,0,02/09/2022,21:30,1,1,0
Werder Bremen,2,3,Eintracht Frankfurt,3,4,28/08/2022,18:30,5,7,2
FC Koln,0,0,Stuttgart,0,0,28/08/2022,16:30,0,0,0
Schalke,1,1,Union Berlin,3,6,27/08/2022,16:30,4,7,3
Mainz,0,0,Bayer Leverkusen,3,3,27/08/2022,16:30,3,3,0
Bayern Munich,0,1,B. Monchengladbach,1,1,27/08/2022,19:30,1,2,1
RB Leipzig,1,2,Wolfsburg,0,0,27/08/2022,16:30,1,2,1
Hertha Berlin,0,0,Dortmund,1,1,27/08/2022,16:30,1,1,0
Hoffenheim,1,1,Augsburg,0,0,27/08/2022,16:30,1,1,0
Freiburg,0,1,Bochum,0,0,26/08/2022,21:30,0,1,1
Bochum,0,0,Bayern Munich,4,7,21/08/2022,18:30,4,7,3
Eintracht Frankfurt,0,1,FC Koln,0,1,21/08/2022,16:30,0,2,2
Augsburg,1,1,Mainz,1,2,20/08/2022,16:30,2,3,1
Bayer Leverkusen,0,0,Hoffenheim,2,3,20/08/2022,16:30,2,3,1
Union Berlin,2,2,RB Leipzig,0,1,20/08/2022,19:30,2,3,1
Dortmund,1,2,Werder Bremen,0,3,20/08/2022,16:30,1,5,4
Stuttgart,0,0,Freiburg,1,1,20/08/2022,16:30,1,1,0
Wolfsburg,0,0,Schalke,0,0,20/08/2022,16:30,0,0,0
B. Monchengladbach,1,1,Hertha Berlin,0,0,19/08/2022,21:30,1,1,0
Bayern Munich,2,2,Wolfsburg,0,0,14/08/2022,18:30,2,2,0
Mainz,0,0,Union Berlin,0,0,14/08/2022,16:30,0,0,0
Hoffenheim,2,3,Bochum,2,2,13/08/2022,16:30,4,5,1
RB Leipzig,1,2,FC Koln,1,2,13/08/2022,16:30,2,4,2
Werder Bremen,1,2,Stuttgart,1,2,13/08/2022,16:30,2,4,2
Bayer Leverkusen,1,1,Augsburg,1,2,13/08/2022,16:30,2,3,1
Schalke,1,2,B. Monchengladbach,0,2,13/08/2022,19:30,1,4,3
Hertha Berlin,1,1,Eintracht Frankfurt,0,1,13/08/2022,16:30,1,2,1
Freiburg,1,1,Dortmund,0,3,12/08/2022,21:30,1,4,3
Stuttgart,1,1,RB Leipzig,1,1,07/08/2022,16:30,2,2,0
FC Koln,0,3,Schalke,0,1,07/08/2022,18:30,0,4,4
Wolfsburg,1,2,Werder Bremen,2,2,06/08/2022,16:30,3,4,1
B. Monchengladbach,1,3,Hoffenheim,1,1,06/08/2022,16:30,2,4,2
Bochum,1,1,Mainz,1,2,06/08/2022,16:30,2,3,1
Union Berlin,1,3,Hertha Berlin,0,1,06/08/2022,16:30,1,4,3
Dortmund,1,1,Bayer Leverkusen,0,0,06/08/2022,19:30,1,1,0
Augsburg,0,0,Freiburg,0,4,06/08/2022,16:30,0,4,4
