Home Team,Home Team HT,Home Team FT,Away Team,Away Team HT,Away Team FT,date,time,Total HT Goals,Total FT Goals,FT-HT Goals,,
Fenerbahce,1,3,Rennes,3,3,27/10/2022,19:45,4,6,2,,
Royale Union SG,1,3,Braga,3,3,13/10/2022,19:45,4,6,2,,
Zurich,0,1,PSV,4,5,06/10/2022,19:45,4,6,2,,
Feyenoord,4,6,Sturm Graz,0,0,15/09/2022,19:45,4,6,2,,
Ferencvaros,3,3,Trabzonspor,1,2,08/09/2022,22:00,4,5,1,,95.5%
Lazio,3,4,Feyenoord,0,2,08/09/2022,22:00,3,6,3,,
PSV,3,5,Zurich,0,0,13/10/2022,22:00,3,5,2,,
Betis,2,3,Ludogorets,1,2,15/09/2022,22:00,3,5,2,,
Fenerbahce (Tur),2,4,Austria Vienna (Aut),1,1,25/08/2022,20:00,3,5,2,,
Malmo FF (Swe),2,3,Sivasspor (Tur),1,1,18/08/2022,20:00,3,4,1,,
Freiburg,2,2,Qarabag,1,1,08/09/2022,22:00,3,3,0,,
Zurich (Sui),2,2,Hearts (Sco),1,1,18/08/2022,20:00,3,3,0,,
AEK Larnaca,1,3,Dyn. Kyiv,1,3,27/10/2022,19:45,2,6,4,,
Midtjylland,2,5,Lazio,0,1,15/09/2022,19:45,2,6,4,,87.3%
Crvena zvezda,2,4,Ferencvaros,0,1,06/10/2022,19:45,2,5,3,,92.3%
Royale Union SG,1,3,Malmo FF,1,2,15/09/2022,22:00,2,5,3,,
Feyenoord,1,2,Midtjylland,1,2,13/10/2022,19:45,2,4,2,,
Midtjylland,0,2,Feyenoord,2,2,06/10/2022,22:00,2,4,2,,
Monaco,2,3,Trabzonspor,0,1,06/10/2022,19:45,2,4,2,,
Ferencvaros (Hun),2,4,Shamrock Rovers (Irl),0,0,18/08/2022,19:30,2,4,2,,
Shamrock Rovers (Irl),2,3,Shkupi (Mkd),0,1,04/08/2022,22:00,2,4,2,,
Crvena zvezda,1,2,Trabzonspor,1,1,27/10/2022,22:00,2,3,1,,
Lazio,1,2,Midtjylland,1,1,27/10/2022,19:45,2,3,1,,
Arsenal,2,3,Bodo/Glimt,0,0,06/10/2022,22:00,2,3,1,,
AS Roma,1,1,Betis,1,2,06/10/2022,22:00,2,3,1,,
Rennes,1,2,Dyn. Kyiv,1,1,06/10/2022,22:00,2,3,1,,
Olympiacos Piraeus,0,0,Freiburg,2,3,15/09/2022,19:45,2,3,1,,
AEK Larnaca,1,1,Rennes,1,2,08/09/2022,19:45,2,3,1,,
Zurich,1,1,Arsenal,1,2,08/09/2022,19:45,2,3,1,,
AEK Larnaca (Cyp),2,3,Dnipro-1 (Ukr),0,0,25/08/2022,19:00,2,3,1,,
Dnipro-1 (Ukr),0,1,AEK Larnaca (Cyp),2,2,18/08/2022,21:00,2,3,1,,
Zurich (Sui),2,3,Linfield (Nir),0,0,11/08/2022,20:00,2,3,1,,
Fenerbahce (Tur),2,3,Slovacko (Cze),0,0,04/08/2022,20:00,2,3,1,,
AEK Larnaca (Cyp),1,2,Partizan (Srb),1,1,04/08/2022,19:00,2,3,1,,
Malmo FF,0,0,Royale Union SG,2,2,27/10/2022,19:45,2,2,0,,
Sheriff Tiraspol,0,0,Manchester Utd,2,2,15/09/2022,19:45,2,2,0,,
Omonia (Cyp),2,2,Gent (Bel),0,0,25/08/2022,20:00,2,2,0,,
Apollon (Cyp),1,1,Olympiacos Piraeus (Gre),1,1,18/08/2022,20:00,2,2,0,,
Omonia,1,2,Manchester Utd,0,3,06/10/2022,19:45,1,5,4,,97.2%
Lazio,1,2,Sturm Graz,0,2,13/10/2022,22:00,1,4,3,,
Trabzonspor,1,4,Monaco,0,0,13/10/2022,22:00,1,4,3,,
Nantes,0,0,Freiburg,1,4,13/10/2022,19:45,1,4,3,,
Partizan (Srb),1,2,AEK Larnaca (Cyp),0,2,11/08/2022,22:00,1,4,3,,
HJK,0,1,AS Roma,1,2,27/10/2022,22:00,1,3,2,,
Manchester Utd,1,3,Sheriff Tiraspol,0,0,27/10/2022,22:00,1,3,2,,
Nantes,1,2,Qarabag,0,1,27/10/2022,22:00,1,3,2,,
Zurich,0,2,Bodo/Glimt,1,1,27/10/2022,19:45,1,3,2,,
Ferencvaros,1,2,Crvena zvezda,0,1,13/10/2022,22:00,1,3,2,,
Real Sociedad,1,3,Sheriff Tiraspol,0,0,13/10/2022,22:00,1,3,2,,
AEK Larnaca,0,1,Fenerbahce,1,2,13/10/2022,19:45,1,3,2,,
Real Sociedad,1,2,Omonia,0,1,15/09/2022,19:45,1,3,2,,
Trabzonspor,1,2,Crvena zvezda,0,1,15/09/2022,19:45,1,3,2,,
Nantes,1,2,Olympiacos Piraeus,0,1,08/09/2022,22:00,1,3,2,,
Omonia,0,0,Sheriff Tiraspol,1,3,08/09/2022,22:00,1,3,2,,
Fenerbahce,1,2,Dyn. Kyiv,0,1,08/09/2022,19:45,1,3,2,,
