Home Team,Home Team HT,Home Team FT,Away Team,Away Team HT,Away Team FT,date,time,Total HT Goals,Total FT Goals,FT-HT Goals
Villarreal,0,2,Almeria,1,1,23/10/2022,19:30,1,3,2
Valladolid,0,1,Almeria,0,0,05/09/2022,22:00,0,1,1
Mallorca,1,1,Almeria,0,0,17/09/2022,15:00,1,1,0
Elche,1,1,Almeria,1,1,22/08/2022,21:00,2,2,0
Betis,1,3,Almeria,0,1,16/10/2022,22:00,1,4,3
Ath Bilbao,2,4,Almeria,0,0,30/09/2022,22:00,2,4,2
Sevilla,1,1,Ath Bilbao,0,1,08/10/2022,19:30,1,2,1
Girona,0,2,Ath Bilbao,0,1,04/11/2022,23:00,0,3,3
Getafe,1,2,Ath Bilbao,1,2,18/10/2022,21:00,2,4,2
Elche,0,1,Ath Bilbao,4,4,11/09/2022,17:15,4,5,1
Cadiz CF,0,0,Ath Bilbao,1,4,29/08/2022,21:00,1,4,3
Barcelona,3,4,Ath Bilbao,0,0,23/10/2022,22:00,3,4,1
Valencia,0,0,Atl. Madrid,0,1,29/08/2022,23:00,0,1,1
Sevilla,0,0,Atl. Madrid,1,2,01/10/2022,19:30,1,2,1
Real Sociedad,0,1,Atl. Madrid,1,1,03/09/2022,19:30,1,2,1
Cadiz CF,1,3,Atl. Madrid,0,2,29/10/2022,17:15,1,5,4
Betis,0,1,Atl. Madrid,0,2,23/10/2022,17:15,0,3,3
Ath Bilbao,0,0,Atl. Madrid,0,1,15/10/2022,22:00,0,1,1
Valencia,0,0,Barcelona,0,1,29/10/2022,22:00,0,1,1
Sevilla,0,0,Barcelona,2,3,03/09/2022,22:00,2,3,1
Real Madrid,2,3,Barcelona,0,1,16/10/2022,17:15,2,4,2
Mallorca,0,0,Barcelona,1,1,01/10/2022,22:00,1,1,0
Cadiz CF,0,0,Barcelona,0,4,10/09/2022,19:30,0,4,4
Valladolid,0,0,Betis,0,0,09/10/2022,15:00,0,0,0
Real Sociedad,0,0,Betis,0,2,30/10/2022,23:00,0,2,2
Real Madrid,1,2,Betis,1,1,03/09/2022,17:15,2,3,1
Celta Vigo,1,1,Betis,0,0,02/10/2022,17:15,1,1,0
Cadiz CF,0,0,Betis,0,0,19/10/2022,20:00,0,0,0
Valladolid,0,0,Cadiz CF,0,1,16/09/2022,22:00,0,1,1
Rayo Vallecano,2,5,Cadiz CF,0,1,22/10/2022,15:00,2,6,4
Girona,0,1,Cadiz CF,0,1,15/10/2022,15:00,0,2,2
Celta Vigo,0,3,Cadiz CF,0,0,02/09/2022,22:00,0,3,3
Valladolid,1,4,Celta Vigo,1,1,19/10/2022,20:00,2,5,3
Valencia,1,3,Celta Vigo,0,0,17/09/2022,19:30,1,3,2
Girona,0,0,Celta Vigo,0,1,26/08/2022,21:00,0,1,1
Barcelona,1,1,Celta Vigo,0,0,09/10/2022,22:00,1,1,0
Atl. Madrid,1,4,Celta Vigo,0,1,10/09/2022,22:00,1,5,4
Almeria,0,3,Celta Vigo,1,1,29/10/2022,15:00,1,4,3
Villarreal,2,4,Elche,0,0,04/09/2022,19:30,2,4,2
Valencia,2,2,Elche,1,2,15/10/2022,17:15,3,4,1
Rayo Vallecano,1,2,Elche,1,1,03/10/2022,22:00,2,3,1
Espanyol,1,2,Elche,1,2,23/10/2022,15:00,2,4,2
Barcelona,2,3,Elche,0,0,17/09/2022,17:15,2,3,1
Real Sociedad,2,2,Espanyol,1,1,18/09/2022,19:30,3,3,0
Osasuna,0,1,Espanyol,0,0,20/10/2022,21:00,0,1,1
Mallorca,0,1,Espanyol,0,1,28/10/2022,22:00,0,2,2
Cadiz CF,1,2,Espanyol,0,2,09/10/2022,17:15,1,4,3
Ath Bilbao,0,0,Espanyol,0,1,04/09/2022,17:15,0,1,1
Valencia,3,5,Getafe,0,1,04/09/2022,22:00,3,6,3
Rayo Vallecano,0,0,Getafe,0,0,14/10/2022,22:00,0,0,0
Osasuna,0,0,Getafe,1,2,18/09/2022,15:00,1,2,1
