Home Team,Home Team HT,Home Team FT,Away Team,Away Team HT,Away Team FT,date,time,Total HT Goals,Total FT Goals,FT-HT Goals
Troyes,1,1,Auxerre,0,1,2022-11-04,23:00,1,2,1
Lyon,0,1,Lille,0,0,2022-10-30,22:45,0,1,1
Lorient,1,1,Nice,0,2,2022-10-30,19:05,1,3,2
Brest,0,0,Reims,0,0,2022-10-30,17:00,0,0,0
Monaco,0,2,Angers,0,0,2022-10-30,17:00,0,2,2
Nantes,0,1,Clermont,0,1,2022-10-30,17:00,0,2,2
Rennes,2,3,Montpellier,0,0,2022-10-30,17:00,2,3,1
Auxerre,1,1,AC Ajaccio,0,0,2022-10-30,15:00,1,1,0
Strasbourg,0,2,Marseille,2,2,2022-10-29,22:00,2,4,2
Paris SG,1,4,Troyes,1,3,2022-10-29,18:00,2,7,5
Lens,0,3,Toulouse,0,0,2022-10-28,22:00,0,3,3
Lille,2,4,Monaco,2,3,2022-10-23,21:45,4,7,3
Nice,0,1,Nantes,0,1,2022-10-23,18:05,0,2,2
Clermont,0,1,Brest,1,3,2022-10-23,16:00,1,4,3
Reims,1,2,Auxerre,1,1,2022-10-23,16:00,2,3,1
Toulouse,1,2,Strasbourg,0,2,2022-10-23,16:00,1,4,3
Troyes,1,2,Lorient,0,2,2022-10-23,16:00,1,4,3
Angers,0,1,Rennes,1,2,2022-10-23,14:00,1,3,2
Marseille,0,0,Lens,0,1,2022-10-22,22:00,0,1,1
Montpellier,0,1,Lyon,1,2,2022-10-22,18:00,1,3,2
AC Ajaccio,0,0,Paris SG,1,3,2022-10-21,22:00,1,3,2
Paris SG,1,1,Marseille,0,0,2022-10-16,21:45,1,1,0
Monaco,1,1,Clermont,0,1,2022-10-16,18:05,1,2,1
Auxerre,1,1,Nice,1,1,2022-10-16,16:00,2,2,0
Nantes,2,4,Brest,1,1,2022-10-16,16:00,3,5,2
Rennes,1,3,Lyon,1,2,2022-10-16,16:00,2,5,3
Troyes,0,1,AC Ajaccio,0,1,2022-10-16,16:00,0,2,2
Toulouse,2,3,Angers,1,2,2022-10-16,14:00,3,5,2
Lens,0,1,Montpellier,0,0,2022-10-15,22:00,0,1,1
Lorient,0,0,Reims,0,0,2022-10-15,18:00,0,0,0
Strasbourg,0,0,Lille,1,3,2022-10-14,22:00,1,3,2
Lille,1,1,Lens,0,0,2022-10-09,21:45,1,1,0
Rennes,1,3,Nantes,0,0,2022-10-09,18:05,1,3,2
Angers,1,2,Strasbourg,2,3,2022-10-09,16:00,3,5,2
Brest,1,1,Lorient,1,2,2022-10-09,16:00,2,3,1
Clermont,0,2,Auxerre,0,1,2022-10-09,16:00,0,3,3
Nice,2,3,Troyes,0,2,2022-10-09,16:00,2,5,3
Montpellier,0,0,Monaco,1,2,2022-10-09,14:00,1,2,1
Reims,0,0,Paris SG,0,0,2022-10-08,22:00,0,0,0
Marseille,1,1,AC Ajaccio,1,2,2022-10-08,18:00,2,3,1
Lyon,1,1,Toulouse,0,1,2022-10-07,22:00,1,2,1
Lens,0,1,Lyon,0,0,2022-10-02,21:45,0,1,1
Monaco,3,4,Nantes,0,1,2022-10-02,18:05,3,5,2
AC Ajaccio,0,1,Clermont,1,3,2022-10-02,16:00,1,4,3
Auxerre,0,1,Brest,0,1,2022-10-02,16:00,0,2,2
Toulouse,3,4,Montpellier,1,2,2022-10-02,16:00,4,6,2
Troyes,0,2,Reims,1,2,2022-10-02,16:00,1,4,3
Lorient,1,2,Lille,0,1,2022-10-02,14:00,1,3,2
Paris SG,1,2,Nice,0,1,2022-10-01,22:00,1,3,2
Strasbourg,0,1,Rennes,1,3,2022-10-01,18:00,1,4,3
Angers,0,0,Marseille,1,3,2022-09-30,22:00,1,3,2
Lyon,0,0,Paris SG,1,1,2022-09-18,21:45,1,1,0
Nantes,0,0,Lens,0,0,2022-09-18,18:05,0,0,0
Brest,0,0,AC Ajaccio,0,1,2022-09-18,16:00,0,1,1
Clermont,1,1,Troyes,1,3,2022-09-18,16:00,2,4,2
Marseille,0,1,Rennes,1,1,2022-09-18,16:00,1,2,1
Nice,0,0,Angers,1,1,2022-09-18,16:00,1,1,0
Reims,0,0,Monaco,0,3,2022-09-18,14:00,0,3,3
Lille,1,2,Toulouse,0,1,2022-09-17,22:00,1,3,2
Montpellier,1,2,Strasbourg,0,1,2022-09-17,18:00,1,3,2
Auxerre,0,1,Lorient,3,3,2022-09-16,22:00,3,4,1
Monaco,0,2,Lyon,0,1,2022-09-11,21:45,0,3,3
Rennes,1,5,Auxerre,0,0,2022-09-11,18:05,1,5,4
AC Ajaccio,0,0,Nice,0,1,2022-09-11,16:00,0,1,1
Angers,1,2,Montpellier,1,1,2022-09-11,16:00,2,3,1
Lorient,1,3,Nantes,1,2,2022-09-11,16:00,2,5,3
Toulouse,1,1,Reims,0,0,2022-09-11,16:00,1,1,0
Strasbourg,0,0,Clermont,0,0,2022-09-11,14:00,0,0,0
Marseille,1,2,Lille,1,1,2022-09-10,22:00,2,3,1
Paris SG,1,1,Brest,0,0,2022-09-10,18:00,1,1,0
Lens,1,1,Troyes,0,0,2022-09-09,22:00,1,1,0
Lorient,2,3,Lyon,1,1,2022-09-07,20:00,3,4,1
Nice,0,0,Monaco,0,1,2022-09-04,21:45,0,1,1
Troyes,1,1,Rennes,0,1,2022-09-04,18:05,1,2,1
AC Ajaccio,0,0,Lorient,0,1,2022-09-04,16:00,0,1,1
Brest,1,1,Strasbourg,1,1,2022-09-04,16:00,2,2,0
Clermont,0,2,Toulouse,0,0,2022-09-04,16:00,0,2,2
Reims,0,1,Lens,0,1,2022-09-04,16:00,0,2,2
Montpellier,1,1,Lille,1,3,2022-09-04,14:00,2,4,2
Nantes,0,0,Paris SG,1,3,2022-09-03,22:00,1,3,2
Lyon,2,5,Angers,0,0,2022-09-03,20:00,2,5,3
Auxerre,0,0,Marseille,1,2,2022-09-03,18:00,1,2,1
Lens,2,5,Lorient,1,2,2022-08-31,22:00,3,7,4
Lille,1,1,Nice,2,2,2022-08-31,22:00,3,3,0
Marseille,0,1,Clermont,0,0,2022-08-31,22:00,0,1,1
Rennes,0,3,Brest,0,1,2022-08-31,22:00,0,4,4
Toulouse,0,0,Paris SG,1,3,2022-08-31,22:00,1,3,2
Angers,0,2,Reims,2,4,2022-08-31,20:00,2,6,4
Lyon,1,2,Auxerre,0,1,2022-08-31,20:00,1,3,2
