Home Team,Home Team HT,Home Team FT,Away Team,Away Team HT,Away Team FT,date,time,Total HT Goals,Total FT Goals,FT-HT Goals
Napoli,3,3,Torino,1,1,01/10/2022,16:00,4,4,0
Cremonese,0,0,Lazio,3,4,18/09/2022,16:00,3,4,1
Fiorentina,1,3,Inter,2,4,22/10/2022,21:45,3,7,4
Napoli,3,4,Sassuolo,0,0,29/10/2022,16:00,3,4,1
Spezia,2,2,Cremonese,1,2,16/10/2022,16:00,3,4,1
Spezia,2,2,Sassuolo,1,2,27/08/2022,21:45,3,4,1
Verona,2,2,Sampdoria,1,1,04/09/2022,19:00,3,3,0
AC Milan,1,3,Inter,1,2,03/09/2022,19:00,2,5,3
AC Milan,2,4,Monza,0,1,22/10/2022,19:00,2,5,3
AS Roma,1,2,Lecce,1,1,09/10/2022,21:45,2,3,1
AS Roma,2,3,Monza,0,0,30/08/2022,21:45,2,3,1
Atalanta,1,2,Sassuolo,1,1,15/10/2022,21:45,2,3,1
Bologna,2,2,Lecce,0,0,23/10/2022,16:00,2,2,0
Empoli,1,1,AS Roma,1,2,12/09/2022,21:45,2,3,1
Fiorentina,1,1,Juventus,1,1,03/09/2022,16:00,2,2,0
Fiorentina,0,0,Lazio,2,4,10/10/2022,21:45,2,4,2
Inter,1,1,AS Roma,1,2,01/10/2022,19:00,2,3,1
Inter,2,3,Cremonese,0,1,30/08/2022,21:45,2,4,2
Inter,2,3,Sampdoria,0,0,29/10/2022,21:45,2,3,1
Juventus,0,2,Salernitana,2,2,11/09/2022,21:45,2,4,2
Lazio,1,1,Napoli,1,2,03/09/2022,21:45,2,3,1
Lazio,2,4,Spezia,0,0,02/10/2022,13:30,2,4,2
Lecce,1,1,Cremonese,1,1,02/10/2022,16:00,2,2,0
Lecce,1,1,Empoli,1,1,28/08/2022,21:45,2,2,0
Monza,1,1,Udinese,1,2,26/08/2022,19:30,2,3,1
Napoli,1,3,Bologna,1,2,16/10/2022,19:00,2,5,3
Napoli,1,1,Lecce,1,1,31/08/2022,21:45,2,2,0
Salernitana,1,2,Empoli,1,2,05/09/2022,19:30,2,4,2
Salernitana,2,4,Sampdoria,0,0,28/08/2022,19:30,2,4,2
Sassuolo,2,5,Salernitana,0,0,02/10/2022,16:00,2,5,3
Sassuolo,1,2,Verona,1,1,24/10/2022,21:45,2,3,1
Spezia,1,2,Bologna,1,2,04/09/2022,16:00,2,4,2
Spezia,1,1,Fiorentina,1,2,30/10/2022,17:00,2,3,1
Spezia,1,2,Sampdoria,1,1,17/09/2022,19:00,2,3,1
Torino,2,2,AC Milan,0,1,30/10/2022,22:45,2,3,1
Udinese,1,3,Inter,1,1,18/09/2022,13:30,2,4,2
Udinese,1,1,Torino,1,2,23/10/2022,13:30,2,3,1
Verona,1,1,AC Milan,1,2,16/10/2022,21:45,2,3,1
Verona,1,1,AS Roma,1,3,31/10/2022,20:30,2,4,2
AC Milan,1,2,Bologna,0,0,27/08/2022,21:45,1,2,1
